document_type,record_ipno
NAR,76000140
ITF,76000036
NAR,52000515
NAR,40000429
NAR,72000258
ITF,40000551
NAR,72000149
NAR,72000048
NAR,72001001
NAR,72000169
ITF,63000520
NAR,63000121
ITF,76000216
NAR,72000209
NAR,72000226
NAR,72000674
ITF,52000208
ITF,76000033
NAR,40000396
NAR,76000183
NAR,40000585
NAR,72000323
NAR,72000251
NAR,76000108
NAR,72000867
NAR,76000192
ITF,52000073
ITF,63000191
NAR,72000194
ITF,76000004
NAR,40000333
NAR,40000278
ITF,40000290
NAR,52000376
NAR,72000602
ITF,40000299
ITF,72000144
ITF,52000266
ITF,76000180
NAR,52000159
ITF,52000249
ITF,52000288
NAR,72000276
NAR,40000496
NAR,72000017
NAR,72001020
NAR,63000288
ITF,40000118
NAR,52000362
ITF,53000066
NAR,40000026
ITF,72000123
NAR,40000088
NAR,40000511
ITF,52000114
NAR,76000274
ITF,52000606
NAR,63000064
NAR,52000365
ITF,72000013
ITF,76000359
NAR,72000099
ITF,40000072
ITF,52000663
NAR,40000148
ITF,40000428
NAR,52000652
NAR,52000427
NAR,76000008
NAR,63000012
ITF,52000706
NAR,72000208
NAR,72001003
ITF,76000333
NAR,76000369
NAR,52000638
NAR,63000084
ITF,76000259
NAR,72000222
NAR,76000022
ITF,52000748
ITF,72000345
NAR,52000762
NAR,40000235
NAR,72000093
NAR,40000553
ITF,52000039
NAR,52000460
ITF,63000244
NAR,52000391
NAR,52000072
ITF,52000078
ITF,76000163
ITF,40000359
ITF,40000483
NAR,40000113
NAR,52000446
ITF,63000088
NAR,76000138
NAR,40000232
ITF,72000280
NAR,40000356
NAR,76000065
ITF,52000394
NAR,40000572
NAR,76000057
ITF,76000023
ITF,63000304
NAR,63000252
NAR,76000378
ITF,63000043
NAR,63000098
NAR,40000139
ITF,76000058
ITF,40000511
ITF,52000383
NAR,76000334
NAR,63000284
NAR,40000224
NAR,63000329
NAR,63000164
ITF,76000090
ITF,76000249
ITF,52000555
NAR,40000065
NAR,76000037
ITF,40000062
ITF,52000674
NAR,40000476
NAR,72001064
NAR,40000430
NAR,40000371
NAR,63000062
ITF,72000664
NAR,76000082
NAR,52000757
NAR,40000279
NAR,40000509
NAR,40000316
NAR,52000482
NAR,72000820
NAR,52000002
NAR,63000122
NAR,40000600
ITF,76000133
NAR,63000262
ITF,72000247
NAR,72000189
NAR,40000061
NAR,40000097
ITF,40000389
NAR,53000104
NAR,40000206
ITF,76000153
ITF,40000375
NAR,52000539
NAR,72000301
NAR,40000474
ITF,72000236
NAR,40000459
NAR,76000199
NAR,40000166
ITF,72000052
NAR,63000275
NAR,52000677
ITF,53000125
NAR,72000174
ITF,76000140
NAR,40000175
NAR,63000002
NAR,40000510
ITF,40000246
NAR,63000183
NAR,76000247
NAR,72000299
NAR,63000280
NAR,52000178
NAR,72000023
ITF,52000327
NAR,53000109
NAR,72000170
NAR,40000240
NAR,72000815
NAR,40000382
ITF,76000150
ITF,40000063
ITF,72000162
NAR,76000139
NAR,40000445
NAR,72000322
ITF,40000126
NAR,52000075
NAR,72001013
ITF,52000716
ITF,76000046
NAR,76000370
NAR,40000060
ITF,40000442
NAR,72000055
NAR,40000072
NAR,63000019
ITF,63000192
ITF,72000318
ITF,52000365
NAR,72000230
NAR,53000085
NAR,52000292
NAR,76000020
NAR,63000088
ITF,72000167
NAR,72000249
NAR,72000150
NAR,63000197
NAR,52000120
ITF,40000344
ITF,52000611
ITF,72000005
ITF,72000132
NAR,72000327
ITF,72000153
NAR,40000640
NAR,52000493
ITF,53000131
NAR,52000243
NAR,63000266
ITF,52000326
ITF,52000688
NAR,40000402
NAR,40000617
ITF,72000170
NAR,40000358
ITF,63000278
NAR,72000317
ITF,40000327
ITF,63000160
NAR,63000388
ITF,40000607
ITF,40000399
NAR,76000021
NAR,40000602
NAR,72000100
NAR,40000486
NAR,76000354
ITF,72000048
ITF,72000305
NAR,40000481
ITF,40000665
NAR,40000649
ITF,52000609
ITF,63000445
ITF,52000639
NAR,52000264
NAR,63000159
NAR,52000042
NAR,76000407
NAR,76000147
ITF,52000405
NAR,40000497
NAR,63000152
ITF,40000529
NAR,52000495
ITF,72000008
NAR,76000217
NAR,63000314
ITF,52000418
NAR,72000177
NAR,72000399
ITF,53000015
NAR,40000055
ITF,52000384
NAR,52000587
NAR,76000392
NAR,52000738
ITF,72000657
NAR,40000282
NAR,40000495
NAR,52000328
ITF,72000237
ITF,52000673
ITF,52000422
ITF,76000143
NAR,63000095
NAR,63000097
NAR,63000027
ITF,52000102
NAR,52000062
NAR,40000527
NAR,72000082
NAR,63000055
ITF,52000161
NAR,40000034
NAR,40000053
ITF,72000333
NAR,72000273
NAR,40000560
ITF,40000576
NAR,76000051
ITF,63000267
NAR,72000090
ITF,72000045
NAR,52000684
NAR,63000214
ITF,40000175
NAR,52000252
ITF,63000055
NAR,76000364
NAR,76000185
NAR,72000886
ITF,52000713
NAR,41000003
NAR,40000322
NAR,72000358
NAR,40000283
NAR,52000128
NAR,76000017
NAR,76000047
NAR,72000841
ITF,40000208
NAR,72000604
NAR,63000303
NAR,76000025
ITF,72000860
NAR,52000250
NAR,63000026
ITF,40000385
NAR,76000145
NAR,63000254
NAR,76000297
ITF,41000081
NAR,72000268
ITF,52000219
NAR,41000005
NAR,52000728
NAR,52000266
ITF,52000448
NAR,76000144
ITF,72000670
NAR,72000608
NAR,76000195
NAR,40000387
ITF,63000468
ITF,52000321
NAR,40000150
NAR,72000826
ITF,52000528
NAR,63000369
NAR,76000197
NAR,53000131
NAR,40000043
NAR,40000660
ITF,72000149
NAR,52000673
NAR,52000719
ITF,40000021
ITF,40000348
ITF,76000388
NAR,76000327
ITF,52000272
NAR,72000088
NAR,72000242
NAR,63000120
NAR,52000420
NAR,76000075
ITF,40000236
NAR,63000281
ITF,63000199
NAR,72000223
NAR,52000637
NAR,76000151
NAR,72000080
NAR,52000259
NAR,52000701
ITF,76000369
NAR,52000003
NAR,52000298
NAR,53000062
ITF,52000460
NAR,40000273
ITF,40000649
ITF,52000140
NAR,72000397
NAR,76000326
NAR,72000402
ITF,40000209
NAR,40000638
ITF,52000481
NAR,76000062
ITF,40000620
NAR,72000770
ITF,72000677
NAR,52000748
NAR,40000415
NAR,63000035
NAR,76000381
ITF,72000403
NAR,72000591
NAR,63000198
ITF,76000071
NAR,52000468
NAR,52000418
NAR,52000469
ITF,72000321
ITF,40000068
NAR,52000586
NAR,52000309
ITF,63000284
ITF,52000223
ITF,76000209
ITF,40000364
NAR,76000175
NAR,76000048
ITF,40000440
NAR,76000071
NAR,52000205
ITF,72000070
NAR,52000627
NAR,72000011
ITF,76000328
ITF,72000772
NAR,72000583
NAR,40000482
NAR,52000283
ITF,76000106
ITF,72000294
ITF,40000131
ITF,52000310
NAR,40000192
ITF,52000683
NAR,76000105
ITF,40000541
NAR,72000396
NAR,40000643
NAR,72000738
NAR,63000200
NAR,63000196
ITF,52000553
ITF,72000740
ITF,52000556
NAR,72000789
NAR,72000073
NAR,52000237
NAR,40000610
NAR,40000193
NAR,72000351
ITF,63000145
NAR,63000290
NAR,52000374
ITF,76000037
NAR,76000114
ITF,63000025
ITF,52000519
NAR,63000224
NAR,40000413
NAR,52000189
NAR,52000459
NAR,76000202
NAR,63000065
ITF,63000206
ITF,72001035
NAR,40000455
NAR,52000082
NAR,63000239
NAR,52000689
ITF,52000600
ITF,40000467
NAR,63000132
NAR,63000162
ITF,52000464
NAR,63000341
NAR,76000126
NAR,52000700
NAR,72000062
ITF,63000286
NAR,52000271
NAR,52000472
ITF,40000661
NAR,52000426
NAR,52000753
NAR,63000186
ITF,63000131
NAR,40000654
NAR,72000714
ITF,52000439
ITF,72000073
ITF,63000102
NAR,40000636
NAR,53000097
NAR,40000196
ITF,63000238
ITF,40000333
NAR,40000391
NAR,63000210
ITF,63000321
ITF,52000290
NAR,72000597
NAR,52000167
ITF,52000068
NAR,72000010
NAR,76000270
ITF,72000194
ITF,63000154
NAR,52000771
ITF,40000552
NAR,52000770
NAR,40000082
ITF,40000461
ITF,40000155
NAR,40000436
ITF,76000282
NAR,40000236
ITF,52000337
NAR,63000244
NAR,40000385
ITF,40000048
ITF,52000322
NAR,40000366
NAR,52000634
NAR,52000093
ITF,52000309
NAR,52000369
ITF,40000147
NAR,76000036
NAR,52000582
NAR,52000251
NAR,72000221
ITF,72000107
NAR,52000055
ITF,63000474
NAR,72001058
NAR,72000750
ITF,76000164
NAR,40000168
NAR,63000283
NAR,52000550
NAR,40000182
ITF,52000527
NAR,72000069
ITF,40000629
ITF,52000163
NAR,63000137
ITF,72000043
NAR,40000025
NAR,40000597
NAR,76000275
ITF,52000698
NAR,52000115
NAR,63000377
ITF,40000638
ITF,63000002
NAR,52000566
NAR,40000438
